,Country names,TIME_PERIOD,OBS_VALUE_x,OBS_VALUE_y
0,Austria,2021,12.38,4.2
1,Belgium,2021,14.37,3.8
2,Bulgaria,2021,6.66,3.3
3,Croatia,2021,14.72,4.5
4,Cyprus,2021,9.42,5.2
5,Czechia,2021,6.41,1.9
6,Denmark,2021,36.33,3.6
7,EU27_2020,2021,13.42,4.5
8,Estonia,2021,19.83,4.4
9,Finland,2021,34.18,5.2
10,France,2021,15.72,4.9
11,Germany,2021,7.75,2.5
12,Greece,2021,10.31,8.6
13,Hungary,2021,16.59,2.7
14,Iceland,2021,23.07,4.8
15,Ireland,2021,21.43,4.3
16,Italy,2021,13.65,5.3
17,Latvia,2021,12.3,5.1
18,Lithuania,2021,14.79,5.0
19,Luxembourg,2021,15.22,3.5
20,Malta,2021,14.56,2.3
21,Netherlands,2021,22.25,3.1
22,Norway,2021,29.53,3.2
23,Poland,2021,5.96,2.1
24,Portugal,2021,14.85,4.4
25,Romania,2021,5.04,3.2
26,Serbia,2021,11.43,6.7
27,Slovakia,2021,15.28,4.5
28,Slovenia,2021,12.44,3.1
29,Spain,2021,16.48,9.6
30,Sweden,2021,27.69,6.5
31,Switzerland,2021,24.06,3.9
