,Entity,Code,Year,PISA: Mean performance on the reading scale
3,Albania,ALB,2015,405.2588
4,Algeria,DZA,2015,349.8593
9,Argentina,ARG,2015,425.3031
15,Australia,AUS,2015,502.9006
21,Austria,AUT,2015,484.8656
29,Belgium,BEL,2015,498.5242
35,Brazil,BRA,2015,407.3486
40,Bulgaria,BGR,2015,431.7175
46,Canada,CAN,2015,526.6678
51,Chile,CHL,2015,458.5709
54,China,CHN,2015,493.9412
58,Colombia,COL,2015,424.9052
61,Costa Rica,CRI,2015,427.4875
65,Croatia,HRV,2015,486.8632
67,Cyprus,CYP,2015,442.8443
73,Czechia,CZE,2015,487.2501
79,Denmark,DNK,2015,499.8146
80,Dominican Republic,DOM,2015,357.7377
84,Estonia,EST,2015,519.1429
90,Finland,FIN,2015,526.4247
96,France,FRA,2015,499.3061
98,Georgia,GEO,2015,401.2881
104,Germany,DEU,2015,509.1041
110,Greece,GRC,2015,467.0395
116,Hong Kong,HKG,2015,526.6753
122,Hungary,HUN,2015,469.5233
128,Iceland,ISL,2015,481.5255
134,Indonesia,IDN,2015,397.2595
140,Ireland,IRL,2015,520.8148
145,Israel,ISR,2015,478.9606
151,Italy,ITA,2015,484.758
157,Japan,JPN,2015,515.9585
161,Jordan,JOR,2015,408.1022
164,Kazakhstan,KAZ,2015,427.141
165,Kosovo,OWID_KOS,2015,347.1259
173,Latvia,LVA,2015,487.7581
174,Lebanon,LBN,2015,346.54900000000004
183,Lithuania,LTU,2015,472.4066
189,Luxembourg,LUX,2015,481.4391
194,Macao,MAC,2015,508.6905
197,Malaysia,MYS,2015,430.5782
199,Malta,MLT,2015,446.6661
206,Mexico,MEX,2015,423.2765
208,Moldova,MDA,2015,416.2293
212,Montenegro,MNE,2015,426.8845
217,Netherlands,NLD,2015,502.9591
223,New Zealand,NZL,2015,509.2707
225,North Macedonia,MKD,2015,351.7415
231,Norway,NOR,2015,513.1912
236,Peru,PER,2015,397.5414
242,Poland,POL,2015,505.6971
248,Portugal,PRT,2015,498.1289
252,Qatar,QAT,2015,401.8874
257,Romania,ROU,2015,433.6166
263,Russia,RUS,2015,494.6278
270,Singapore,SGP,2015,535.1002
275,Slovakia,SVK,2015,452.5143
279,Slovenia,SVN,2015,505.2159
285,South Korea,KOR,2015,517.4367
291,Spain,ESP,2015,495.5764
297,Sweden,SWE,2015,500.1556
303,Switzerland,CHE,2015,492.1982
309,Thailand,THA,2015,409.1301
311,Trinidad and Tobago,TTO,2015,427.2733
316,Tunisia,TUN,2015,361.0555
321,Turkey,TUR,2015,428.3351
324,United Arab Emirates,ARE,2015,433.5423
330,United Kingdom,GBR,2015,497.9719
335,United States,USA,2015,496.9351
340,Uruguay,URY,2015,436.5721
342,Vietnam,VNM,2015,486.7738
