,Country names,index,DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,Entity_x,Code,PISA: Mean performance on the reading scale,Individuals using the Internet (% of population)
0,Austria,42,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,AT,2022,8978929,,Austria,AUT,484.8656,87.52942657470703
1,Belgium,75,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,BE,2022,11631136,p,Belgium,BEL,498.5242,91.5264129638672
2,Bulgaria,87,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,BG,2022,6838937,,Bulgaria,BGR,431.7175,70.16000366210938
3,Cyprus,121,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,CY,2022,904705,p,Cyprus,CYP,442.8443,90.80194854736328
4,Czechia,133,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,CZ,2022,10516707,,Czechia,CZE,487.2501,81.33889770507812
5,Germany,145,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,DE,2022,83237124,,Germany,DEU,509.1041,89.81294250488281
6,Denmark,157,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,DK,2022,5873420,,Denmark,DNK,499.8146,96.54914855957033
7,Estonia,193,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,EE,2022,1331796,,Estonia,EST,519.1429,89.05828857421875
8,Spain,217,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,ES,2022,47432805,p,Spain,ESP,495.5764,93.20565032958984
9,Finland,250,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,FI,2022,5548241,,Finland,FIN,526.4247,92.16999816894533
10,France,262,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,FR,2022,67842582,p,France,FRA,499.3061,84.80000305175781
11,Croatia,288,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,HR,2022,3879074,bp,Croatia,HRV,486.8632,78.32093048095703
12,Hungary,300,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,HU,2022,9689010,,Hungary,HUN,469.5233,84.77114868164062
13,Ireland,312,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,IE,2022,5060005,,Ireland,IRL,520.8148,91.99989318847656
14,Italy,336,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,IT,2022,58983122,p,Italy,ITA,484.758,70.48342895507812
15,Lithuania,360,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,LT,2022,2805998,,Lithuania,LTU,472.4066,83.05554962158203
16,Luxembourg,372,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,LU,2022,645397,,Luxembourg,LUX,481.4391,98.82242584228516
17,Latvia,384,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,LV,2022,1875757,,Latvia,LVA,487.7581,88.9000015258789
18,Malta,435,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,MT,2022,520971,,Malta,MLT,446.6661,86.8587646484375
19,Netherlands,447,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,NL,2022,17590672,,Netherlands,NLD,502.9591,91.33333587646484
20,Poland,471,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,PL,2022,37654247,,Poland,POL,505.6971,83.18489074707031
21,Portugal,483,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,PT,2022,10352042,bp,Portugal,PRT,498.1289,78.26165771484375
22,Romania,495,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,RO,2022,19038098,e,Romania,ROU,433.6166,78.45526885986328
23,Sweden,522,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,SE,2022,10452326,,Sweden,SWE,500.1556,94.5394287109375
24,Slovenia,534,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,SI,2022,2107180,,Slovenia,SVN,505.2159,86.60130310058594
25,Slovakia,546,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,SK,2022,5434712,,Slovakia,SVK,452.5143,89.92090606689453
